 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5105206  339.672882300000 -31.53222200000000086 0.16588     4  -20.432    6.83823  1.0000    6.262        0.041    0.0038     0     0.000     0.0     0    0.182    2.449    1.000     0
   5131302  342.781407900000 -31.21621070000000131 0.14832     4  -19.841   13.02134  1.0000    8.069        0.024    0.0006     0     0.000     0.0     0    0.040    1.000    1.000     0
   5151028  346.112669400000 -33.43255779999999788 0.14768     4  -21.378   16.71212  1.0000   34.346        0.001 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.000     2
   5106094  339.909968200000 -31.34098429999999880 0.16579     4  -21.576    9.26151  1.0000    5.929        0.045    0.0015     0     0.000     0.0     0    0.235    2.236    1.200     0
   5140777  343.607196500000 -32.51970529999999826 0.16984     4  -20.222   30.24965  1.0000    3.228        0.153    0.0082     0     1.000     1.0     0    0.214    3.162    1.000     0
   5105628  340.686776700000 -31.44777840000000069 0.17085     4  -21.105   17.65005  1.0000    4.144        0.093    0.0040     0     1.000     1.0     0    0.120    1.000    1.000     0
   5141597  343.982678500000 -32.36001250000000340 0.17827     4  -20.021   30.14832  1.0000    4.807        0.069    0.0040     0     2.000     1.4     0    0.403    2.000    1.400     0
   5114195  340.584834200000 -32.75731780000000271 0.17565     4  -20.446   16.78629  1.0000    4.844        0.068    0.0001     0     1.000     1.0     0    0.404    2.449    1.200     0
   5145630  344.629494800000 -32.57344020000000029 0.17437     4  -20.442   30.34891  1.0000    0.876        2.073    0.5861     0     5.000     2.2     0    0.850    4.583    1.200     0
   5115771  341.103057500000 -32.44056719999999672 0.14481     4  -20.367   18.56955  1.0000    4.523        0.078    0.0016     0     1.000     1.0     0    0.342    1.732    1.400     0
   5118130  341.316622700000 -31.96818389999999965 0.17464     4  -21.317   24.61572  1.0000    0.648        3.786    0.3189     0     7.000     2.6     0    1.122    4.796    1.200     0
   5156876  345.537232100000 -32.22276440000000264 0.17783     4  -20.787   28.32746  1.0000    0.960        1.726    0.1384     0     5.000     2.2     0    1.767    6.000    1.800     0
   5151312  345.726138500000 -33.38842329999999947 0.17529     4  -20.341   20.25783  1.0000    4.019        0.099    0.0058     0     0.000     0.0     0    0.196    2.236    1.200     0
   5108687  340.600949900000 -30.85789949999999848 0.15101     4  -21.364    9.34595  1.0000    3.360        0.141    0.0108     0     1.000     1.0     0    0.146    3.742    1.000     0
   5130168  342.905927000000 -31.42413270000000125 0.17896     4  -20.340   18.25972  1.0000    3.180        0.157    0.0153     0     0.000     0.0     0    0.095    3.464    1.000     0
   5149880  345.126406200000 -31.70315950000000171 0.17769     4  -21.199   21.68941  1.0000    4.443        0.081    0.0041     0     2.000     1.4     0    1.177    5.568    1.400     0
   5157115  345.470348000000 -32.17578480000000241 0.17875     4  -21.207   27.86563  1.0000    0.942        1.793    0.1163     0     6.000     2.4     0    1.017    5.196    1.400     0
