     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5103341     0.0984     8.8304     0.1347    35.26
     5103350     0.1248     9.8534     0.0096     1.00
     5103361     0.1259    10.1852     0.0541     1.04
     5103363     0.2123    10.0821     0.1007     4.43
     5103385     0.3362    11.0056     0.0630    11.70
     5103399     0.1551     9.8188     0.0897    47.36
     5103400     0.3940    11.2830     0.0405     4.81
     5103412     0.1694     9.9790     0.1029    36.38
     5103414     0.1259     9.9704     0.1266    10.35
     5103418     0.3122    10.7640     0.0657    55.34
     5103425     0.1693    10.0290     0.1023    18.93
     5103428     0.3543    11.0171     0.0587     8.57
     5103435     0.2652    10.7780     0.0766     5.81
     5103442     0.1221     9.4889     0.1204   111.01
     5103455     1.0625        nan        nan      nan
     5103460     0.4254    11.2934     0.0987     5.98
     5103463     0.0879     8.9428     0.1181   282.07
     5103465     0.2936    10.9342     0.0597     3.17
     5103466     0.2287    10.1498     0.0900    19.83
     5103471     0.2946    10.8499     0.0309     1.66
     5103479     0.1558    10.6440     0.0707     3.39
     5103486     0.1848    10.1293     0.0943    31.58
     5103495     0.1779     9.7525     0.1146   145.09
     5103504     0.2986    11.4653     0.0933     2.27
     5103508     0.1226    10.0377     0.0393    10.90
     5103514     0.2635    10.8408     0.0723     5.08
     5103528     0.2985    10.6334     0.1678     1.51
     5103532     0.2720    10.5607     0.1092    11.51
     5103533     0.2988    10.5414     0.0187     1.25
     5103538     0.1726     9.8522     0.1110   137.51
     5103543     0.2643    10.9927     0.0342     8.36
     5103552     0.1240     9.8942     0.0887     1.44
     5103553     0.1269    10.3018     0.0226     1.19
     5103567     0.3566    10.6574     0.0617    55.82
     5103574     0.3248    10.5909     0.1023    55.85
     5103590     0.1263     9.8754     0.0093     1.06
     5103592     0.3001    10.8844     0.0392    39.37
     5103594     0.2463     9.8281     0.0979   172.01
     5103597     0.1248     9.9132     0.0578     6.07
     5103598     0.1692     9.9485     0.1038    88.01
     5103599     0.3251    10.5578     0.0702    92.54
     5103605     0.1245    10.2521     0.0688     4.08
     5103612     0.4713    11.3379     0.0332     7.01
     5103625     0.1788    10.1112     0.0726    52.88
     5103633     0.1777     9.8988     0.0952   119.82
     5103638     0.1769    10.2541     0.1949     8.90
     5103645     0.2032    10.1717     0.1696     3.02
     5103646     0.1775    10.9213     0.0773     3.08
     5103648     0.2994    10.8521     0.0764    13.34
     5103650     0.1258    10.0379     0.0741     4.46
     5103653     0.4736    10.8204     0.2472     3.14
     5103655     0.3245    10.5950     0.1016    26.18
     5103669     0.1262     9.5544     0.0921   156.63
     5103670     0.1785    10.6379     0.0846     3.14
     5103671     0.1249     9.6385     0.1994    22.73
     5103672     0.1711    10.4675     0.3927     1.52
     5103674     0.3248    10.9931     0.2223     4.84
     5103681     0.2990    10.6391     0.0670    77.61
     5103685     1.8716        nan        nan      nan
     5103686     0.1261    11.0014     0.0196     1.82
     5103696     0.1221     9.2307     0.1086   216.59
     5103703     0.1252     9.7612     0.0023     1.00
     5103705     0.4862    11.3357     0.0540     2.41
     5103706     0.2984    11.1661     0.0454     1.08
     5103708     0.1558     9.8203     0.1329    43.81
     5103710     0.4888    11.5118     0.0273     2.53
     5103711     0.3492    10.8754     0.0422     9.03
     5103721     0.2977    10.9743     0.0536     5.63
     5103722     0.1992    10.9100     0.0515     2.52
     5103725     0.2369    10.5026     0.0871    35.30
     5103732     0.1030    10.1798     0.1223     6.91
     5103733     0.3241    10.6202     0.1111    52.33
