,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
22,375506,129.5193,1.3903,0.2399,46,13.5,0.4192,46,7.5,G09_Y1_AN2_213,ELG,ELG,ELG+ELG
156,65016,221.1725,-0.29,0.239,46,12.9,0.2863,46,11,G15_Y1_HS1_202,ELG,ELG,ELG+ELG
19,1320592,32.9409,-4.8201,0.0701,47,11.7,0.1618,46,10,G02_Y6_004_333,ELG,ELG,ELG+ELG
149,92523,216.6288,0.6252,0.0996,47,7.5,0.1253,46,7.9,G15_Y1_DN1_062,ELG,ELG,ELG+ELG
14,1684064,35.6249,-3.8769,0.2917,40,6.6,0.6141,47,8.4,G02_Y5_107_229,PG,ELG,PG+ELG
18,1312058,32.2928,-5.4301,0.417,40,8.2,0.6194,47,7.1,G02_Y6_004_156,PG,ELG,PG+ELG
28,209295,132.6101,0.1197,0.3126,40,11.2,0.6076,47,7.8,G09_Y1_CS2_346,PG,ELG,PG+ELG
34,301818,135.3293,1.2298,0.2468,40,10,0.4869,47,10.6,G09_Y1_EN1_004,PG,ELG,PG+ELG
36,204140,136.6388,-0.352,0.282,40,9.4,0.4492,47,8.1,G09_Y1_FS1_021,PG,ELG,PG+ELG
37,198082,138.2815,-0.6667,0.1631,40,11.1,0.3212,47,10.2,G09_Y1_GS1_039,PG,ELG,PG+ELG
39,3632403,138.1071,-0.9585,0.3151,40,10.1,0.4445,47,8.5,G09_Y1_GS2_075,PG,ELG,PG+ELG
45,419678,140.9867,2.8608,0.5692,40,8.2,0.6622,47,7.4,G09_Y2_008_375,PG,ELG,PG+ELG
51,383284,140.6575,2.1374,0.1936,40,9.7,0.3422,47,5.8,G09_Y2_042_077,PG,ELG,PG+ELG
57,279956,140.1419,0.9734,0.3358,40,5.9,0.5859,47,6,G09_Y3_014_306,PG,ELG,PG+ELG
70,419678,140.9867,2.8608,0.5697,40,7.4,0.6621,47,7.2,G09_Y4_251_352,PG,ELG,PG+ELG
74,905359,139.6344,-0.6073,0.5846,40,6.5,0.7571,47,6.2,G09_Y5_033_205,PG,ELG,PG+ELG
75,209222,132.3677,0.1636,0.1277,40,10.3,0.6033,47,6.7,G09_Y5_050_103,PG,ELG,PG+ELG
84,136800,176.0529,-1.7746,0.2642,40,11.7,0.589,47,7.8,G12_Y1_BS2_132,PG,ELG,PG+ELG
86,22278,176.9636,1.2031,0.0936,40,8.5,0.7122,47,6,G12_Y1_BX2_054,PG,ELG,PG+ELG
98,185604,180.9697,-1.4628,0.2651,40,10.6,0.2726,47,9.5,G12_Y1_FS2_087,PG,ELG,PG+ELG
99,231043,182.1669,1.9984,0.16,40,10.1,0.6892,47,8.9,G12_Y1_FX2_252,PG,ELG,PG+ELG
100,220682,182.7435,1.5979,0.2889,40,9.8,0.3614,47,9.8,G12_Y1_FX2_344,PG,ELG,PG+ELG
106,583469,175.0186,-0.1499,0.3144,40,11.2,0.7466,47,7.4,G12_Y1_ND1_174,PG,ELG,PG+ELG
107,98399,177.7832,0.9195,0.4001,40,8.9,0.5692,47,7.3,G12_Y1_ND2_327,PG,ELG,PG+ELG
108,98624,179.067,0.992,0.2587,40,11.7,0.2701,47,5.5,G12_Y1_ND3_310,PG,ELG,PG+ELG
110,586648,185.7243,-0.2091,0.2875,40,9.7,0.6968,47,10.3,G12_Y1_ND7_018,PG,ELG,PG+ELG
111,560475,180.4113,-0.4825,0.1652,40,9.9,0.5433,47,6.5,G12_Y1_ND8_063,PG,ELG,PG+ELG
